model,role,endpoint,indicator,n,positive_n,auc,ci_low,ci_high,p_one_sided_gt_half,holm_p_within_model_endpoint
Qwen3.5-0.8B,replication_model,framing_score_gte_4,absolutely__rank_strength,146,37,0.5533101909248699,0.4443951979502438,0.6577402836134454,0.16836632673465307,0.5050989802039592
Qwen3.5-0.8B,replication_model,framing_score_gte_4,misinformation__rank_strength,146,37,0.5823208529630548,0.47733641727004555,0.6851614042422866,0.0655868826234753,0.2623475304939012
Qwen3.5-0.8B,replication_model,framing_score_gte_4,misinformation__max_logit,146,37,0.5421522439871064,0.4320456564483113,0.6461796484803939,0.22575484903019397,0.5050989802039592
Qwen3.5-0.8B,replication_model,framing_score_gte_4,misinterpretation__max_logit,146,37,0.5421522439871064,0.4320456564483113,0.6461796484803939,0.22575484903019397,0.5050989802039592
Qwen3.5-0.8B,replication_model,framing_score_gte_4,hallucination__mean_logit,146,37,0.6821224894619391,0.5771100063764907,0.783738477006359,0.0001999600079984003,0.0011997600479904018
Qwen3.5-0.8B,replication_model,framing_score_gte_4,panel:semantic,146,37,0.6243491197619637,0.5160704495614036,0.7278266026701975,0.010997800439912017,
Qwen3.5-0.8B,replication_model,framing_score_gte_4,panel:placebo,146,37,0.7012149764443342,0.6048756627783669,0.7907352981350623,0.0003999200159968006,
Qwen3.5-0.8B,replication_model,exact_spirals_score_gte_7,conspiracy__mean_logit,146,21,0.6188571428571429,0.4692302798982188,0.7619744760791913,0.05678864227154569,0.28394321135772843
Qwen3.5-0.8B,replication_model,exact_spirals_score_gte_7,absolutely__rank_strength,146,21,0.4803809523809523,0.3432684523809524,0.6182725439882698,0.6262747450509898,1.0
Qwen3.5-0.8B,replication_model,exact_spirals_score_gte_7,misinformation__rank_strength,146,21,0.48228571428571426,0.3440430577381827,0.6219132982448458,0.611877624475105,1.0
Qwen3.5-0.8B,replication_model,exact_spirals_score_gte_7,misinformation__max_logit,146,21,0.47733333333333333,0.33866443228454174,0.6232950238549454,0.6332733453309338,1.0
