metric,layer,contrast,n_pairs,mean_difference,bootstrap_ci_low,bootstrap_ci_high,paired_effect_dz,wilcoxon_p,holm_p,robust
falsity_concern_mean_logit,26,validating_minus_reality_testing,417,-0.04639616254584443,-0.06188724873261282,-0.03085557879662267,-0.28737845057451583,7.658500523997614e-09,1.5317001047995227e-08,True
reality_testing_mean_logit,8,validating_minus_neutral,417,0.014782801301657312,0.011671856733188135,0.01784103902190721,0.45872083661836005,5.279267074927091e-19,1.0558534149854183e-18,True
reality_testing_mean_logit,8,reality_testing_minus_neutral,417,-0.056595984925615024,-0.0617574717099645,-0.051767545123752076,-1.1081803394357868,1.365236135828818e-59,5.460944543315272e-59,True
reality_testing_mean_logit,8,validating_minus_reality_testing,417,0.07137878622727234,0.06638980196947905,0.07660103742246317,1.3417835890006635,8.73210825836417e-66,2.619632477509251e-65,True
reality_testing_mean_logit,16,validating_minus_neutral,417,-0.191190872881399,-0.20307782787626824,-0.17950546105873028,-1.570051702643703,5.2294761693453956e-68,2.0917904677381582e-67,True
reality_testing_mean_logit,16,reality_testing_minus_neutral,417,0.16985190569779673,0.1531503454557067,0.1864765751586288,0.9744849328246973,5.141163133009739e-50,1.5423489399029218e-49,True
reality_testing_mean_logit,16,validating_minus_reality_testing,417,-0.36104277857919576,-0.3772005947020974,-0.3448657570228789,-2.1282650881890914,4.967466903117545e-70,1.986986761247018e-69,True
reality_testing_mean_logit,24,validating_minus_neutral,417,-0.22883285447720197,-0.2455898885149342,-0.21173221839070963,-1.3050783098299241,5.412457386332627e-62,1.623737215899788e-61,True
reality_testing_mean_logit,24,reality_testing_minus_neutral,417,-0.14943393687033105,-0.1712019652844424,-0.1274137718177911,-0.6469061210772131,6.079887705106311e-33,1.2159775410212621e-32,True
reality_testing_mean_logit,24,validating_minus_reality_testing,417,-0.07939891760687091,-0.1006557522565043,-0.05879583099532038,-0.36537648959545604,1.249001927105193e-13,1.249001927105193e-13,True
reality_testing_mean_logit,26,validating_minus_neutral,417,-0.010887953059832303,-0.028557583514363966,0.005930586815902201,-0.06071543915630504,0.43260610234706276,0.43260610234706276,False
reality_testing_mean_logit,26,reality_testing_minus_neutral,417,0.09782622825053829,0.07902259224500878,0.11637415384247544,0.49830604143051527,1.583387926263876e-22,1.583387926263876e-22,True
reality_testing_mean_logit,26,validating_minus_reality_testing,417,-0.10871418131037058,-0.1250201182338898,-0.09270427545860557,-0.6389200298546608,1.1556869935089742e-30,2.3113739870179483e-30,True
validation_mystical_mean_logit,8,validating_minus_neutral,417,0.013159738754069257,0.010085853571015671,0.01616217518553477,0.4179792334876462,1.2049930859031719e-15,3.614979257709516e-15,True
validation_mystical_mean_logit,8,reality_testing_minus_neutral,417,-0.07328108333982955,-0.07842305070180369,-0.06829539567902719,-1.3849321063363387,1.332990787117162e-67,5.331963148468648e-67,True
validation_mystical_mean_logit,8,validating_minus_reality_testing,417,0.0864408220938988,0.08086068125621199,0.09213005593190529,1.4843725613600802,3.0257613619475454e-68,9.077284085842636e-68,True
validation_mystical_mean_logit,16,validating_minus_neutral,417,-0.03825788015224196,-0.04824814768225339,-0.02813884663918814,-0.35991483955239595,1.6215733839819027e-11,3.243146767963805e-11,True
validation_mystical_mean_logit,16,reality_testing_minus_neutral,417,0.16084336370793867,0.1477931954531142,0.17452508683557189,1.14789878311912,3.395346584067315e-56,6.79069316813463e-56,True
validation_mystical_mean_logit,16,validating_minus_reality_testing,417,-0.19910124386018063,-0.21054483460701207,-0.18806078647665786,-1.6609474753487987,7.067171821980883e-69,2.8268687287923533e-68,True
validation_mystical_mean_logit,24,validating_minus_neutral,417,-0.24445474767594916,-0.2606843028873124,-0.2286608047330615,-1.4729177121853505,2.0232938000227893e-67,8.093175200091157e-67,True
validation_mystical_mean_logit,24,reality_testing_minus_neutral,417,-0.32355343494447397,-0.3452033156551593,-0.3018855463479805,-1.4108465820079314,5.221851750960158e-65,1.5665555252880474e-64,True
validation_mystical_mean_logit,24,validating_minus_reality_testing,417,0.0790986872685248,0.05398536291078156,0.10350977373923616,0.3095929933547017,3.181740958258074e-11,6.363481916516149e-11,True
validation_mystical_mean_logit,26,validating_minus_neutral,417,0.0006077061490663741,-0.017513078976373317,0.01856857489868051,0.003256827753406525,0.5489284049016113,0.5489284049016113,False
validation_mystical_mean_logit,26,reality_testing_minus_neutral,417,-0.014416377625542516,-0.032036558816223595,0.0032364580033841087,-0.07934692202234594,0.19178119297538498,0.19178119297538498,False
